client;date;flg_eletricidade_ativo;flg_gas_ativo;flg_easy_ativo;flg_smart_ativo;flg_full_ativo;potencia_contratada;qtd_os_packs;qtd_os_packs_abertas;qtd_os_excl_packs;qtd_os_excl_packs_abertas;qtd_pi;qtd_pi_aberto;qtd_po;qtd_po_aberto;qtd_rec_aberto;eletricidade_yrsrecensy;gas_yrsrecensy;contract_days;escalao_consumo;flg_deb_direto;flg_fatura_eletronica;divida_total;churn_label
1230;01/09/2020;1;0;0;0;1;3.45;0;0;5;2;16;0;23;0;0;5.003;null;204;null;0;0;95.79;0
1293;01/02/2021;1;1;0;0;1;4.6;0;0;0;0;2;0;4;0;0;5.242;5.245;111;1;0;0;45.11;1
1299;01/01/2021;1;0;0;0;1;5.75;0;0;0;0;8;0;15;0;0;5.132;null;81;null;0;0;66.26;0
1319;01/08/2021;1;1;0;1;0;6.9;2;2;0;0;5;0;10;0;0;5.656;5.661;44;1;1;1;0;0
1336;01/08/2021;1;1;0;1;0;6.9;3;2;0;0;2;0;5;0;0;5.594;5.594;40;3;1;1;26.53;0
1376;01/05/2021;1;0;0;0;1;6.9;0;0;0;0;1;0;5;0;0;5.199;null;229;null;1;1;0;0
1440;01/02/2022;1;1;0;0;1;6.9;6;4;0;0;1;0;7;0;0;5.761;5.758;400;4;1;0;0;0
1509;01/03/2021;1;1;0;1;0;3.45;1;1;0;0;1;0;7;0;0;4.532;4.551;221;1;1;1;0;0
1555;01/04/2021;1;1;0;0;1;3.45;2;0;0;0;0;0;3;0;0;4.484;4.465;475;1;1;1;0;0
1680;01/03/2021;1;0;0;0;1;6.9;3;0;8;1;3;0;18;0;0;3.922;null;49;null;0;1;141.93;0
